if one airplane averages 400 miles per hour and the other 250 miles per hour , how many hours will it take for the distance between them be 1625 miles ? CANNOTDISTRIBUTE	IN0 S0 S1 S2 S3 S4 S5 S6 CC0 NP0 NP1 NP2 NP3 NP4 NP5 ,0 WHNP0 WHNP1 WHNP2 SQ0 SQ1 SQ2 SQ3 SQ4 SQ5 SQ6 SQ7 SQ8 SQ9 SQ10 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
there are some 2 dollar coins and some 5 dollar coins . CANNOTDISTRIBUTE	NP0 VBP0 NP0 NP1 NP2 NP3 CC0 NP0 NP1 NP2 NP3 .0 CANNOTDISTRIBUTE	there are some 2-dollar coins . there are some 5-dollar coins .
there are 37 short bushes and 30 tall trees currently in the park . CANNOTDISTRIBUTE	NP0 VBP0 NP0 NP1 NP2 CC0 NP0 NP1 NP2 PP0 PP1 PP2 PP3 .0 CANNOTDISTRIBUTE	there are 37 short bushes currently in the park . there are 30 tall trees currently in the park .
he went to a sporting goods store and bought a baseball glove , baseball , and bat . CANNOTDISTRIBUTE	NP0 VP0 VP1 VP2 VP3 VP4 VP5 CC0 VBD0 DT0 NN0 NN0 ,0 NP0 ,0 CC0 NN0 .0 CANNOTDISTRIBUTE	he went to a sporting goods store . he bought a baseball . he bought a bat , he bought a glove .
joan had 695 pokemon cards , and 6 were torn . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 ,0 CC0 S0 S1 S2 .0 CANNOTDISTRIBUTE	joan had 695 pokemon cards . 6 pokemon cards were torn .
how many are cows and how many are chickens ? CANNOTDISTRIBUTE	WHNP0 WHNP1 S0 S1 CC0 SBAR0 SBAR1 SBAR2 SBAR3 .0 CANNOTDISTRIBUTE	how many are cows ? how many are chickens ?
janet invested 31,000 dollars , part at 10 % and part at 1 % . CANNOTDISTRIBUTE	NP0 VP0 VP1 VP2 ,0 NP0 NP1 NP2 NP3 CC0 VP0 VP1 VP2 VP3 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
a 2nd customer buys 3 mp3 players and 4 sets of headphones , and pays 480 dollars . CANNOTDISTRIBUTE	NP0 NP1 NP2 VBZ0 NP0 NP1 NP2 CC0 NP0 NP1 NP2 NP3 ,0 CC0 VP0 VP1 VP2 .0 CANNOTDISTRIBUTE	a 2nd customer buys 3 mp3 players . a 2nd customer buys 4 sets of headphones . a 2nd customer pays 480 dollars .
36 more than the product of three and x is the same as 48 . CANNOTDISTRIBUTE	NP0 NP1 IN0 NP0 NP1 IN0 NP0 CC0 SYM0 VP0 VP1 VP2 VP3 VP4 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
if the total yearly interest from this investment is 256 dollars , how much did pat invest at 10 percent and how much at 8 percent ? CANNOTDISTRIBUTE	SBAR0 SBAR1 SBAR2 SBAR3 SBAR4 SBAR5 SBAR6 SBAR7 SBAR8 SBAR9 SBAR10 ,0 WHNP0 WHNP1 SQ0 SQ1 SQ2 SQ3 SQ4 SQ5 CC0 WHNP0 WHNP1 PP0 PP1 PP2 .0 CANNOTDISTRIBUTE	if the total yearly interest from this investment is 256 dollars , how much did pat invest at 10 percent ? if the total yearly interest from this investment is 256 dollars , how much did pat invest at 8 percent ?
there are 30 legs and 13 heads of goats and chicken , so how may goats and chicken are there ? CANNOTDISTRIBUTE	NP0 VBP0 NP0 NP1 CC0 NP0 NP1 IN0 NNS0 CC0 NN0 ,0 CC0 WHADVP0 MD0 NNS0 CC0 NN0 VP0 VP1 .0 CANNOTDISTRIBUTE	there are 30 legs and 13 heads of goats and chicken , so how may goats are there ? there are 30 legs and 13 heads of goats and chicken , so how may chicken are there ?
he served 0 .25 pitcher of lemonade during the first intermission , 0 .4166666666666667 pitcher during the second , and 0 .25 pitcher during the third . CANNOTDISTRIBUTE	NP0 VBD0 NP0 NP1 NP2 NP3 NP4 PP0 PP1 PP2 PP3 ,0 NP0 NP1 NP2 NP3 NP4 NP5 ,0 CC0 VP0 VP1 VP2 VP3 VP4 VP5 .0 CANNOTDISTRIBUTE	he served 0 .25 pitcher of lemonade during the first intermission . he served 0 .4166666666666667 pitcher of lemonade during the second intermission . he served 0 .25 pitcher of lemonade during the third intermission .
if the manufacturer allots a total of 5800 hours and 12,600 dollars for production each week , how many of each model will be produced ? CANNOTDISTRIBUTE	IN0 NP0 NP1 VBZ0 NP0 NP1 IN0 NP0 NP1 CC0 NP0 NP1 PP0 PP1 PP2 PP3 ,0 WHNP0 WHNP1 WHNP2 WHNP3 WHNP4 VP0 VP1 VP2 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
john 's photo world charges 2 .75 dollars per sheet and a one time sitting fee of 125 dollars . CANNOTDISTRIBUTE	NP0 NP1 NP2 NP3 VBZ0 NP0 NP1 NP2 NP3 NP4 CC0 NP0 NP1 NP2 NP3 NP4 NP5 NP6 NP7 .0 CANNOTDISTRIBUTE	john 's photo world charges 2 .75 dollars per sheet . john 's photo world charges a one time sitting fee of 125 dollars .
how old is riza and her son now ? CANNOTDISTRIBUTE	WRB0 JJ0 VBZ0 NP0 CC0 NP0 NP1 ADVP0 .0 CANNOTDISTRIBUTE	how old is riza now ? how old is her son now ?
dan picked 9 limes and gave sara 4 of the limes . CANNOTDISTRIBUTE	NP0 VP0 VP1 VP2 CC0 VP0 VP1 VP2 VP3 VP4 VP5 .0 CANNOTDISTRIBUTE	dan picked 9 limes . dan gave sara 4 of the limes .
scores are computed by giving 4 points for each right answer and subtracting one point for each wrong answer . CANNOTDISTRIBUTE	NP0 VBP0 VBN0 IN0 VP0 VP1 VP2 VP3 VP4 VP5 VP6 CC0 VP0 VP1 VP2 VP3 VP4 VP5 VP6 .0 CANNOTDISTRIBUTE	scores are computed by giving 4 points for each right answer . scores are computed by subtracting one points for each wrong answer .
tickets at a local theater cost 6 dollars for adults and 2 dollars dollars for kids under twelve . CANNOTDISTRIBUTE	NP0 PP0 PP1 PP2 PP3 VBD0 NP0 NP1 NP2 NP3 CC0 NP0 NP1 NP2 NP3 NP4 NP5 NP6 .0 CANNOTDISTRIBUTE	tickets at a local theater cost 6 dollars for adults . tickets at a local theater cost 2 dollars for kids under twelve .
some cost 6 dollars each and the remainder cost 6 .50 dollars each . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 CC0 S0 S1 S2 S3 S4 S5 S6 .0 CANNOTDISTRIBUTE	some cost 6 dollars each . the remainder cost 6 .50 dollars each .
it takes a boat 4 hours to travel 24 miles down a river and 6 hours to return upstream to its starting point . CANNOTDISTRIBUTE	NP0 VBZ0 NP0 NP1 NP0 NP1 TO0 VP0 VP1 VP2 VP3 VP4 VP5 CC0 NP0 NP1 S0 S1 S2 S3 S4 S5 S6 .0 CANNOTDISTRIBUTE	it takes a boat 4 hours to travel 24 miles down a river . it takes a boat 6 hours to return upstream to it starting point .
what was the rate of rainfall in milliliters per hour for the first and second storms if the sum of the two rates was 55 milliliters per hour ? CANNOTDISTRIBUTE	WHNP0 VBD0 NP0 NP1 PP0 PP1 PP2 PP3 PP4 PP5 IN0 DT0 JJ0 CC0 JJ0 NNS0 SBAR0 SBAR1 SBAR2 SBAR3 SBAR4 SBAR5 SBAR6 SBAR7 SBAR8 SBAR9 SBAR10 SBAR11 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
a dealer has some hard candy worth 2 .00 dollars a pound and some worth 3 .00 dollars a pound . CANNOTDISTRIBUTE	NP0 NP1 VBZ0 DT0 JJ0 NN0 ADJP0 ADJP1 ADJP2 ADJP3 ADJP4 ADJP5 CC0 NP0 NP1 NP2 NP3 NP4 NP5 NP6 .0 CANNOTDISTRIBUTE	a dealer has some hard candy worth 2 .00 dollars a pound . a dealer has some hard candy worth 3 .00 dollars a pound .
find the cost of a duck and a pig . CANNOTDISTRIBUTE	VB0 NP0 NP1 IN0 NP0 NP1 CC0 NP0 NP1 .0 CANNOTDISTRIBUTE	find the cost of a duck . find the cost of a pig .
greg and sharon own neighboring cornfields . CANNOTDISTRIBUTE	NNS0 CC0 VB0 JJ0 NP0 NP1 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
adult tickets cost 15 dollars each and children 's tickets cost 8 dollars each . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 S5 CC0 S0 S1 S2 S3 S4 S5 S6 .0 CANNOTDISTRIBUTE	adult tickets cost 15 dollars each . children 's tickets cost 8 dollars each .
